Moon Phase,Mysuru Date,Moscow,Saint-Petersburg,Yekaterinburg,Krasnaya Polyana,Novosibirsk,Minsk,Kyiv,Astana,Almaty
PURNIMA,03 Jan 2026,,,,,,,,,
AMAVASYA,18 Jan 2026,,,,,,,,,
PURNIMA,01 Feb 2026,,,,,,,,,
AMAVASYA,17 Feb 2026,,,,,,,,,
PURNIMA,03 Mar 2026,,,,,,,,,
AMAVASYA,19 Mar 2026,18 Mar 2026,18 Mar 2026,※,18 Mar 2026,,18 Mar 2026,18 Mar 2026,,
PURNIMA,02 Apr 2026,01 Apr 2026,01 Apr 2026,,01 Apr 2026,,01 Apr 2026,01 Apr 2026,,
AMAVASYA,17 Apr 2026,,,,,,,,,
PURNIMA,01 May 2026,,,,,,,,,
AMAVASYA,16 May 2026,,,※,,※,,,※,※
PURNIMA,31 May 2026,,,,,,,,,
AMAVASYA,15 Jun 2026,,,,,,,,,
PURNIMA,29 Jun 2026,,,,,,,,,
AMAVASYA,14 Jul 2026,,,,,,,,,
PURNIMA,29 Jul 2026,,,,,,,,,
AMAVASYA,12 Aug 2026,,,,,,,,,
PURNIMA,28 Aug 2026,,,,,,,,,
AMAVASYA,11 Sep 2026,,,,,,※,,,
PURNIMA,26 Sep 2026,,,,,,,,,
AMAVASYA,10 Oct 2026,,,,,,,,,
PURNIMA,26 Oct 2026,※,※,,,,※,※,,
AMAVASYA,09 Nov 2026,,,,,,,,,
PURNIMA,24 Nov 2026,,,,,,,,,
AMAVASYA,08 Dec 2026,,,,,,,,,
PURNIMA,24 Dec 2026,23 Dec 2026,23 Dec 2026,※,※,※,23 Dec 2026,23 Dec 2026,※,※
AMAVASYA,07 Jan 2027,,,,,,,,,
PURNIMA,22 Jan 2027,,,,,,,,,
AMAVASYA,06 Feb 2027,,,,,,,,,
PURNIMA ※,20 Feb 2027,,,,,※,,,※,※
AMAVASYA,08 Mar 2027,,,,,,,,,
PURNIMA,22 Mar 2027,,,,,,,,,
AMAVASYA,06 Apr 2027,,,,,07 Apr 2027,,,,
PURNIMA,20 Apr 2027,,,,,※,,,,
AMAVASYA,06 May 2027,,,,,,,,,
PURNIMA,20 May 2027,,,,,,,,,
AMAVASYA,04 Jun 2027,,,,,※,,,,
PURNIMA,18 Jun 2027,,,19 Jun 2027,,19 Jun 2027,,,19 Jun 2027,
AMAVASYA,04 Jul 2027,,,,,,,,,
PURNIMA,18 Jul 2027,,,,,,,,,
AMAVASYA,02 Aug 2027,,,,,,,,,
PURNIMA,17 Aug 2027,,,,,,,,,
AMAVASYA,31 Aug 2027,,,,,,,,,
PURNIMA,15 Sep 2027,,,,,,,,,
AMAVASYA,30 Sep 2027,※,※,,※,,※,※,,
PURNIMA,15 Oct 2027,,,,,,,,,
AMAVASYA,29 Oct 2027,,,,,,,,,
